信鸽	220963
黄蜂	118861
水母	78147
野猫	62065
宠物狗	56875
母狗	56087
毛毛虫	48631
猎豹	48451
犀牛	46120
狼狗	40979
喜鹊	40321
梅花鹿	37159
牡蛎	34448
毛驴	32969
野牛	27896
多宝鱼	23907
小蜜蜂	22680
猿人	21112
猎狗	20562
金枪鱼	18892
大黄蜂	18504
墨鱼	17270
扇贝	16676
小雀	13089
狼犬	11704
夜鹰	10533
目鱼	9329
野驴	8582
瓢虫	8236
家鸡	6433
河蚌	6090
绵羊	4587
小鲤	4440
斗牛犬	3940
野牦牛	3938
蟹	3675
鹦鹉	3500
画眉鸟	3483
牧羊犬	3261
台鸽	3222
抹香鲸	3138
水母	3114
海鸥	2963
小野猪	2901
大熊猫	2660
青波	2656
牛	2647
鱼	2549
猪	2508
灰鹤	2354
杜宾犬	2297
白鹭	2210
紫贝	2005
鮰鱼	1976
萨摩耶犬	1970
杜泊羊	1859
滩羊	1794
鼠	1734
生牡蛎	1631
折耳猫	1597
山羊	1430
象拔蚌	1384
萨摩犬	1314
地鳖	1310
犀鸟	1303
鹰	1224
韭菜子	1046
牛头犬	1044
奇迹龙	1030
牛目	1018
鹅	1014
柯基犬	952
